Year,Month,Median,2.5 Percentile,97.5 Percentile
2012.000,   4.000,  50.980,  31.901,  71.236
2012.000,   5.000,  76.817,  55.207,  98.528
2012.000,   6.000,  14.333,  -6.017,  35.532
2012.000,   7.000,  -7.637, -28.047,  12.988
2012.000,   8.000, -45.493, -67.162, -23.940
2012.000,   9.000, -51.878, -74.591, -27.881
2012.000,  10.000,  24.435,  -1.013,  48.693
2012.000,  11.000, -24.303, -48.168,   0.340
2012.000,  12.000,  71.660,  47.221,  97.282
2013.000,   1.000, 139.068, 115.674, 162.261
2013.000,   2.000, 144.019, 121.748, 167.125
2013.000,   3.000, 118.929,  96.890, 141.127
2013.000,   4.000, 260.525, 239.817, 282.285
2013.000,   5.000,  91.765,  70.302, 113.532
2013.000,   6.000, 214.824, 191.632, 237.273
2013.000,   7.000, 127.940, 104.895, 150.656
2013.000,   8.000,  -4.256, -26.312,  16.859
2013.000,   9.000, -64.135, -87.687, -42.110
2013.000,  10.000, -12.427, -38.048,  12.921
2013.000,  11.000, -10.374, -34.644,  12.908
2013.000,  12.000, 161.261, 137.345, 186.601
2014.000,   1.000,  95.172,  71.586, 117.695
2014.000,   2.000, 141.262, 118.924, 163.427
2014.000,   3.000, 140.971, 118.514, 162.886
2014.000,   4.000, 259.860, 238.206, 280.937
2014.000,   5.000, 199.980, 177.483, 222.403
2014.000,   6.000, 118.722,  96.468, 139.723
2014.000,   7.000,  51.138,  30.603,  71.682
2014.000,   8.000,  19.253,  -2.277,  40.718
2014.000,   9.000,  16.978,  -7.380,  40.377
2014.000,  10.000, -25.058, -48.969,  -1.276
2014.000,  11.000, -22.269, -46.317,   1.449
2014.000,  12.000,  16.319,  -6.964,  40.000
2015.000,   1.000,  88.000,  64.889, 110.435
2015.000,   2.000,  38.189,  18.186,  59.035
2015.000,   3.000, 141.724, 120.325, 164.836
2015.000,   4.000, 183.651, 162.244, 204.921
2015.000,   5.000, 152.548, 129.966, 175.516
2015.000,   6.000, 301.920, 278.970, 324.868
2015.000,   7.000,  91.696,  69.153, 114.402
2015.000,   8.000, -28.051, -49.791,  -6.628
2015.000,   9.000, -11.371, -34.443,  11.531
2015.000,  10.000,-109.996,-134.570, -86.125
2015.000,  11.000, -15.401, -37.432,   8.649
2015.000,  12.000,  62.852,  40.325,  86.005
2016.000,   1.000,  54.401,  31.600,  76.672
2016.000,   2.000, 131.536, 111.347, 153.813
2016.000,   3.000, 219.257, 197.882, 239.635
2016.000,   4.000, 175.177, 152.892, 196.851
2016.000,   5.000,  96.343,  73.182, 118.264
2016.000,   6.000,   8.112, -10.759,  27.288
2016.000,   7.000,  18.535,  -0.743,  37.968
2016.000,   8.000,  -4.200, -24.275,  16.089
2016.000,   9.000, -25.970, -47.448,  -4.994
2016.000,  10.000, -50.289, -73.240, -26.170
2016.000,  11.000, -57.668, -79.341, -36.459
2016.000,  12.000,  44.122,  21.453,  66.594
2017.000,   1.000, 229.362, 206.903, 252.031
2017.000,   2.000, 120.883,  99.564, 142.198
2017.000,   3.000, 165.664, 143.655, 187.059
2017.000,   4.000, 251.381, 230.123, 272.011
2017.000,   5.000, 269.983, 247.542, 291.629
2017.000,   6.000,  80.939,  60.463, 102.281
2017.000,   7.000,  59.012,  36.970,  80.161
2017.000,   8.000, -21.658, -43.494,  -0.661
2017.000,   9.000, -59.571, -80.524, -38.675
2017.000,  10.000, -48.820, -71.325, -26.459
2017.000,  11.000, 114.759,  91.363, 138.025
2017.000,  12.000, -12.521, -35.547,  10.751
2018.000,   1.000, 122.265,  99.733, 143.837
2018.000,   2.000, 250.412, 229.346, 271.677
2018.000,   3.000, 157.770, 137.547, 178.894
2018.000,   4.000, 235.392, 215.298, 255.534
2018.000,   5.000, 190.757, 169.464, 212.023
2018.000,   6.000,  86.617,  67.447, 107.370
2018.000,   7.000,  -7.912, -25.961,  10.211
2018.000,   8.000,  14.078,  -6.472,  33.326
2018.000,   9.000, -16.932, -38.114,   4.531
2018.000,  10.000, -47.568, -70.015, -25.275
2018.000,  11.000,  91.889,  70.032, 114.197
2018.000,  12.000,  85.050,  62.760, 107.034
2019.000,   1.000, 109.656,  87.885, 130.645
2019.000,   2.000, 189.176, 167.501, 210.956
2019.000,   3.000, 149.389, 128.347, 169.976
2019.000,   4.000, 270.801, 250.184, 290.695
2019.000,   5.000, 203.075, 181.887, 224.202
2019.000,   6.000, 179.697, 158.118, 199.259
2019.000,   7.000,  43.470,  25.451,  61.581
2019.000,   8.000, -41.050, -59.357, -21.967
2019.000,   9.000, -36.525, -55.326, -16.696
2019.000,  10.000, -54.334, -76.118, -31.842
2019.000,  11.000, -16.553, -37.132,   4.675
2019.000,  12.000,  43.168,  21.168,  64.347
2020.000,   1.000, 213.814, 192.961, 236.196
2020.000,   2.000,  83.092,  61.734, 103.502
2020.000,   3.000, 229.871, 208.681, 250.658
2020.000,   4.000, 132.400, 111.775, 151.996
2020.000,   5.000, 136.597, 114.976, 157.184
2020.000,   6.000,  42.354,  24.502,  60.979
2020.000,   7.000,  21.509,   4.700,  39.332
2020.000,   8.000, -33.064, -51.142, -14.896
2020.000,   9.000, -85.439,-105.100, -65.410
2020.000,  10.000, -32.715, -54.759, -10.641
2020.000,  11.000, -16.014, -37.196,   5.517
2020.000,  12.000,  49.738,  27.418,  71.258
2021.000,   1.000,  46.884,  26.598,  68.450
2021.000,   2.000,  28.678,   9.649,  47.396
2021.000,   3.000,  90.613,  69.574, 110.747
2021.000,   4.000, 114.901,  95.800, 132.994
2021.000,   5.000,  90.675,  69.364, 112.387
2021.000,   6.000, 120.758, 100.504, 139.976
2021.000,   7.000, 140.239, 118.934, 161.631
2021.000,   8.000,  33.138,  13.652,  53.370
2021.000,   9.000, -31.255, -53.528,  -9.302
2021.000,  10.000,  95.982,  73.209, 120.482
2021.000,  11.000, -44.237, -66.919, -21.435
2021.000,  12.000, 114.194,  91.190, 136.848
2022.000,   1.000,  13.208,  -8.088,  34.893
2022.000,   2.000, 200.626, 179.375, 222.377
2022.000,   3.000, 158.094, 136.767, 180.062
